frame,x_Left_Ankle,y_Left_Ankle,x_Right_big_Toe,y_Right_big_Toe,x_Right_Ankle,y_Right_Ankle,x_Right_Knee,y_Right_Knee,x_Right_Hip,y_Right_Hip,x_Right_Shoulder,y_Right_Shoulder
62,82.84,449.74,110.79,469.63,73.35,457.54,78.35,375.66,87.3,289.81,80.81,175.14
63,83.01,449.67,110.99,469.59,73.67,457.76,78.51,375.63,86.97,290.07,80.81,175.11
64,83.03,449.6,111.01,469.74,73.55,457.72,78.54,375.97,86.77,290.25,79.81,175.36
65,83.2,449.66,110.89,469.59,73.26,457.69,78.7,375.21,86.81,289.76,79.77,175.04
66,83.88,449.12,111.33,469.51,73.19,457.9,78.57,375.52,86.62,289.06,79.81,175.04
67,83.9,448.85,110.7,469.54,73.03,457.79,78.76,375.06,86.05,288.72,79.68,174.41
68,84.68,448.82,110.33,469.72,73.01,457.41,79.48,373.5,86.06,287.03,79.07,174.48
69,84.97,447.89,110.33,469.92,72.79,457.58,79.77,372.74,86.02,286.77,78.75,174.57
70,85.82,447.22,110.48,469.47,72.68,457.27,79.65,373.36,85.54,287.28,78.26,174.32
71,86.7,445.73,110.27,469.47,72.9,457.6,79.78,372.83,85.34,287.9,78.05,174.12
72,88.27,445.72,109.78,468.67,72.55,457.07,79.66,372.56,84.94,288.08,78.08,173.94
73,90.48,444.88,109.68,469.73,72.76,457.08,80.27,371.73,84.19,288.35,77.97,173.84
74,95.62,446.28,110.1,469.29,72.73,456.25,81.07,372.14,84.34,287.73,78.01,173.82
75,101.07,447.08,111.07,468.46,72.87,456.6,81.91,372.02,84.39,287.83,77.89,173.74
76,106.76,447.64,109.69,469.17,72.73,457.44,82.58,371.76,84.55,287.51,78.07,174.13
77,113.71,448.5,110.02,468.87,72.82,457.36,83.71,371.74,84.41,288.25,77.58,174.46
78,120.72,447.01,111.43,468.54,72.87,457.12,84.88,372.64,84.85,288.62,77.58,174.5
79,126.48,447.08,112.14,468.6,72.85,456.69,85.96,372.35,85.17,288.58,77.41,174.33
80,132.82,446.87,112.61,468.59,73.13,456.39,87.61,372.12,85.23,288.55,77.19,175.18
81,138.29,445.07,113.54,468.79,73.93,457.07,89.86,372.14,85.7,288.55,77.35,175.54
82,143.26,443.59,113.06,468.2,74.07,456.85,92.11,372.73,85.71,289.86,76.61,176.9
83,148.57,442.67,112.71,468.4,74.19,456.45,95.38,373.37,86.06,290.52,76.66,178.07
84,152.59,442.23,112.37,468.36,74.57,456.72,96.97,373.69,85.82,290.66,76.73,178.96
85,156.59,442.48,112.97,468.47,74.57,456.74,99.73,373.81,85.3,292.49,76.6,179.87
86,160.05,442.02,112.35,468.6,74.79,456.38,103.23,374.5,85.85,294.32,77.14,182.04
87,164.43,442.04,111.84,468.8,74.98,455.97,106.12,376.12,86.73,294.08,77.16,183.51
88,168.19,442.56,112.1,469.23,75.23,456.93,108.82,378.72,87.24,298.21,77.23,185.17
89,172.17,443.02,112.18,469.18,75.16,457.33,111.38,380.41,87.03,298.44,77.04,186.79
90,175.22,443.21,112.06,469.11,75.23,457.61,112.63,382.03,87.42,299.04,76.8,188.7
91,178.82,443.56,112.06,469.11,75.43,457.29,114.67,383.26,87.55,298.47,76.73,191.05
92,181.92,443.76,112.06,469.11,75.5,457.46,116.67,385.21,88.38,301.28,77.11,192.98
93,184.8,442.96,110.33,469.39,75.84,457.96,117.74,385.01,89.19,304.11,77.22,194.75
94,187.84,443.35,110.61,469.79,76,458.57,119.65,386.03,89.78,305.59,76.57,196.93
95,190.54,443.31,110.61,469.79,75.69,458.28,121.15,387.18,89.61,304.98,76.31,199.77
96,193.83,444.09,110.61,469.79,75.44,459.02,123.25,388.57,90.95,305.58,76.03,201.3
97,195.91,444.48,111.75,469.86,75.18,459.32,124.26,390.44,91.96,311.67,76.27,202.61
98,198.05,444.78,111.88,469.89,75.12,459.25,125.61,391.09,92.16,312.43,76.95,203.71
99,200.65,446.32,111.88,469.89,75.22,459.17,126.46,392.09,92.74,312.79,77.81,205.3
100,202.5,446.77,111.88,469.89,75.28,459.11,127.53,392.51,92.5,311.05,77.33,207.29
101,203.93,446.99,111.88,469.89,75.27,459.04,128.53,394,93.63,315.03,77.47,208.26
102,204.69,445.98,111.88,469.89,75.17,458.89,129.23,394.93,94.18,314.9,77.4,209.5
103,206.59,446.87,111.88,469.89,75.3,458.71,130.2,396.11,93.42,316.53,77.84,210.61
104,207.91,446.68,111.88,469.89,75.49,458.69,130.92,396.71,93.27,315.31,77.95,212.25
105,208.49,447.3,111.88,469.89,75.59,458.74,131.55,397.16,93.9,314.84,78.85,212.98
106,209.1,447.36,111.88,469.89,75.21,458.71,132.16,396.72,93.59,316.24,79.95,213.24
107,209.7,448.31,111.88,469.89,75.29,458.64,132.45,396.87,93.79,317.04,80.4,213.42
108,209.21,449.93,111.88,469.89,76.06,457.79,132.77,397.11,93.96,317.23,79.62,214.02
109,208.27,451.02,111.88,469.89,76.27,457.69,133.13,396.83,94.48,318.16,81.19,213.87
110,207.74,450.75,111.88,469.89,76.2,457.76,132.98,397.29,94.96,318.32,80.72,214.31
111,207.49,450.89,111.88,469.89,75.84,457.86,132.69,397.48,96.16,318.52,81.43,214.26
112,207.58,450.84,111.88,469.89,75.66,457.87,132.75,396.63,94.88,318.52,81.52,214.34
113,207.94,450.24,111.88,469.89,75.98,457.85,132.74,396.61,94.91,318.11,81.64,213.98
114,208.1,449.85,111.88,469.89,75.17,458.13,132.53,396.24,95.02,317.1,81.68,213.4
115,207.94,449.44,111.88,469.89,75.18,458.25,132.3,396.05,94.7,316.12,80.69,213.38
116,208.46,449.58,111.88,469.89,75.66,458.28,131.95,395.89,93.83,315.65,80.1,212.84
117,208.37,449.47,111.59,470.61,75.07,458.55,131,395.74,94.61,315.81,79.64,212.44
118,207.89,449.05,111.67,470.63,74.96,458.62,130.99,395.28,93.41,313.45,79.08,211.89
119,206.88,449.32,111.63,470.46,75,458.79,129.84,394.73,94.27,313.26,77.9,211.19
120,205.45,450.06,111.44,470.45,74.96,458.55,129.06,394.06,95.99,313.81,78.41,209.94
121,203.27,450.49,111.44,470.45,75.1,458.35,128.5,393.32,94.24,313.36,78.45,208.33
122,199.97,450.01,111.44,470.45,75.03,458.36,127.88,392.17,94.14,311.65,78.74,207.1
123,196.64,449.53,111.44,470.45,75.68,458.15,127.14,391.19,94.01,311.31,78.7,205.64
124,192.71,449.81,111.44,470.45,75.72,458.32,125.73,390.04,92.7,313.37,78.31,205
125,188.67,449.63,111.44,470.45,75.87,458.28,123.51,388.42,91.83,310.35,77.96,203.56
126,184.91,449.63,111.44,470.45,76.12,457.88,121.13,387.66,90.57,306.9,77.48,201.18
127,181.03,449.4,111.44,470.45,75.53,458.4,118.28,385.99,89.58,304.75,77.3,199.34
128,176.89,448.16,111.44,470.45,74.72,458.26,114.63,384.9,88.95,301.96,77.35,196.85
129,173.4,447.01,111.44,470.45,74.78,458.47,112.48,383.7,87.61,297.85,76.74,194.57
130,169.47,445.86,110.99,470.26,74.41,458.26,109.93,380.86,87.46,297.44,77.21,191.06
131,164.36,444.57,111.02,470.2,74.35,457.95,107.61,379.64,86.91,296.94,76.74,188.69
132,159.23,443.77,111.26,470.37,73.98,457.63,103.19,376.53,84.79,293.88,76.3,186.37
133,154.59,443.43,111.33,470.24,74.3,457.74,99.36,374.65,85.65,292.78,75.84,183.83
134,148.76,442.38,112.19,470.32,73.41,457.36,95.82,373.74,83.98,291.82,74.56,181.95
135,142.51,442.24,111.7,469.98,72.74,457.76,91.05,373.48,83.76,289.31,74.5,180.02
136,135.57,443.82,111.08,469.76,72.23,457.98,87.44,372.76,82.88,289.34,74.35,178.46
137,127.5,444.37,110.72,469.55,71.75,457.56,85.62,372.85,82.43,290.47,73.95,177.55
138,119.54,446.24,110.18,469.64,71.66,458.16,83.72,373.5,82.82,289.05,73.3,176.79
139,111.05,447.3,108.24,469.99,72.04,458.87,83.03,372.62,79.9,289.47,73.25,176.16
140,102.05,447.2,106.35,470.99,71.59,459.13,81.1,373.28,78.83,290.14,72.85,176.09
141,94.18,447.7,107.14,471.53,71.5,458.99,80.23,372.63,79.82,293.39,72.72,175.93
142,86.91,448.18,107.09,472.17,71.2,459.14,79.09,373.1,79.64,290.27,71.95,175.67
143,81.8,448.13,104.97,471.25,71.03,458.08,77.63,373.44,79.03,290.87,72.04,175.47
144,76.8,450.99,109.15,468.98,70.52,458.03,77.22,371.84,78.28,293.18,72.94,175.43
145,68.13,450.15,110.44,468.59,71.54,458.33,76.3,371.98,78.48,291.21,71.76,175.29
146,64.46,451.08,110.82,469.15,72.17,458.43,75.34,371.56,79.06,289.2,71.73,175.51
147,61.87,450.93,110.3,469.08,72.28,458.99,74.11,373.11,77.93,291.69,72,175.74
148,60.4,452.07,110.98,469.22,71.89,459.13,72.98,373.5,78.41,289.38,71.48,175.9
149,60.4,451.96,110.79,469.12,71.95,458.88,71.76,373.39,77.69,290.6,70.9,175.69
150,60.31,452.3,110.26,469.1,71.84,458.92,72.21,373.55,77.7,289.92,71.16,175.57
151,60.79,452.54,109.93,468.81,71.79,458.92,72.64,372.75,77.85,289.48,71.1,175.44
152,60.01,452.28,110.28,468.87,71.61,459.21,71.56,374.1,77.98,289.28,71.31,174.98
153,60.11,452.06,110.22,469.22,71.72,459.11,72.17,374.5,77.98,290.01,70.84,175.04
154,60.15,452.11,110.21,469.34,71.61,459.21,71.44,374.4,77.33,287.63,70.62,174.35
155,59.99,452.62,110.32,469.4,71.28,458.88,72.27,373.22,76.17,289.5,70.9,174.36
156,59.86,452.1,110.61,469.42,71.77,458.85,71.97,373.13,76.51,289.38,70.76,174.18
157,59.92,452.43,110.27,469.36,71.41,459.52,71.94,373.24,76.89,289.19,70.85,174.61
158,60.33,451.34,109.91,469.57,71.29,459.57,72.06,373.37,77.01,289.01,70.2,174.58
159,60.59,451.74,109.74,469.27,71.31,459.85,72.12,373.73,76.46,286.94,70.05,174.74
160,61.71,451.04,109.71,469.62,71.29,459.1,72.46,374.29,76.78,287.53,70.43,174.6
161,62.67,450.88,109.74,469.69,71.29,459.56,72.78,373.65,77.07,287.2,70.07,174.64
162,63.44,451.36,111.21,468.86,71.07,458.83,72.34,372.88,77.48,286.17,69.57,174.92
163,64.74,451.36,110.93,468.96,71.9,458.45,72.66,373.7,76.67,288.19,69.58,174.22
164,70.65,450.25,109.84,469.74,71.21,457.93,72.07,372.64,75.78,287.65,69.05,175.1
165,76.16,451.63,108.2,469.86,71.18,458.62,73.51,371.43,76.03,286.27,69.34,175.15
166,79.28,450.13,106.76,471.35,70.6,458.9,73.97,372.85,76.29,285.36,69.32,175.07
167,82.43,448.63,106.16,470.31,70.81,457.84,74.97,372.22,76.53,288.15,69.29,175.44
168,86.36,448.65,107.47,471.93,70.53,457.7,75.43,372.49,76.49,288.74,69.4,175.78
169,89.68,449.81,107.84,472.1,72.02,459.65,76.6,373.65,76.4,289.05,69.39,175.95
170,94.43,449.28,107.95,471.04,70.61,459.19,76.76,373.91,76.27,287.81,68.78,175.84
171,98.68,448.97,106.92,470.56,71.81,458.21,77.37,371.95,77.01,288.68,69.38,176.31
172,103.51,449.18,107.82,470.08,71.03,458.95,78.35,372.84,76.55,286.58,68.95,175.78
173,107.44,448.96,107.88,470.37,71.24,458.59,79.18,372.86,75.89,286.02,69.16,175.91
174,111.92,448.93,108.41,470.08,71.63,458.82,79.9,372.77,76.61,285.92,69.12,175.92
175,115.74,448.15,108.77,469.94,71.84,458.81,80.17,371.69,76.81,285.74,69.2,175.82
176,118.96,447.69,109.57,470.14,71.8,459.09,79.89,371.64,76.82,286.07,69.06,175.83
177,121.5,446.96,110.41,469.81,71.54,457.79,79.01,372.03,78.13,287.9,68.96,175.67
178,124.37,446.06,110.92,469.83,71.49,457.89,78.88,371.76,78.68,288.85,69.07,175.53
179,126.21,445.79,110.81,469.85,71.6,457.97,78.76,371.42,79.05,289.26,69.22,175.42
180,127.57,445.08,110.74,469.67,71.22,457.76,78.27,372.08,79.3,288.61,69.52,176.05
181,129.35,445.55,110.16,469.54,71.63,457.95,78,372.09,80.19,289.36,69.35,175.96
182,130.92,444.58,110.22,469.45,71.76,457.83,78.22,371.9,80.51,288.75,69.18,176.17
183,132.78,444.54,110.48,469.3,71.56,458,79.8,371.66,80.61,289.86,69.18,176.3
184,135.65,445.22,110.45,469.53,71.62,458.06,81.44,373.43,80.9,290.71,69.01,176.74
185,137.86,444.79,110.45,469.57,71.64,458.1,84.26,373.43,81.14,290.1,69,177.36
186,140.45,444.49,110.26,469.4,72.08,458.21,87.01,372.97,81.91,288.85,68.98,178.4
187,143.64,444.82,110.58,469.34,73.1,458.03,90.39,373.43,80.94,290.15,68.94,179.19
188,147.11,444.94,111.29,469.39,72.96,457.04,95.39,374.14,80.76,290.7,69.16,180.87
189,150.47,444.95,111.34,469.54,73.28,457.29,97.71,375.74,82.55,291.66,68.87,182.94
190,153.97,446.06,109.71,469.62,73.42,457.57,101.56,377.01,82.95,294.19,68.1,184.67
191,157.81,446.36,109.22,469.59,73.65,457.64,104.57,378.11,83.22,296.95,68.87,185.55
192,161.78,446.84,109.05,470.19,74.54,457.56,107.72,379.98,83.75,298.2,68.59,187.34
193,165.8,446.75,110.33,469.9,74.28,457.7,109.91,381.76,83.2,299.17,68.78,190.17
194,169.72,447.21,109.96,469.77,74.4,458.02,111.96,382.6,83.05,301.43,69.16,192.87
195,173.35,447.14,109.96,469.77,74.47,457.83,113.74,383.25,83.91,303.83,69.28,194.95
196,176.18,447.42,110.01,470.08,74.4,457.91,115.6,384.47,83.83,306.7,69.46,196.82
197,179.64,448.24,110.42,470.24,74.81,458.2,117.48,386.06,82.9,305.12,69.78,199.76
198,182.14,448.54,110.42,470.24,75.06,458.43,119.86,387.73,83.89,307.93,69.14,201.35
199,184.56,449.32,110.42,470.24,74.19,459.28,121.06,389.04,83.43,310.21,69,203.61
200,186.72,450.01,110.42,470.24,74.1,459.56,122.54,390.31,84.19,311.47,69.63,205.17
201,187.92,450.59,110.25,470.68,74.03,459.74,124.05,391.02,84.5,312.09,70.24,206.04
202,189.74,450.84,110.32,470.79,74.63,459.71,125.08,391.68,84.03,314.64,70.65,208.27
203,192.07,450.64,110.28,470.85,74.05,459.83,125.94,392.19,84.21,316.38,71.02,209.38
204,193.59,450.44,110.1,470.84,74.81,459.48,126.58,392.6,84.61,317.6,71.04,210.38
205,195.5,450.84,109.89,470.95,74.63,459.41,127.5,392.73,86.3,315.92,71,209.89
206,196.49,450.48,109.89,470.95,75.2,458.82,128.39,393.67,85.43,320.41,71.99,212.9
207,197.96,449.86,109.58,470.99,75.41,458.57,129.31,393.94,85.91,320.46,71.6,213.91
208,199.48,450.09,109.79,470.15,74.93,458.63,129.64,394.48,88.03,318.84,71.84,212.43
209,200.19,450.34,110.33,470.19,75.09,458.64,130.18,394.45,88.34,320,71.83,212.52
210,200.36,451.2,110.88,470.21,74.73,458.59,130.15,394.7,88.79,320.52,72.27,213.68
211,200.08,452.33,110.74,471.02,75.01,458.65,130.27,395.1,88.47,319.76,71.97,213.53
212,200.23,452.67,110.84,470.79,75.19,458.69,130.24,395.2,88.49,320.14,72.62,215.87
213,199.87,452.63,110.99,470.48,74.99,458.53,130.2,395.28,88.58,320.46,72.85,215.83
214,199,452.19,110.76,470.43,74.83,458.53,130.21,396.12,87.43,321.9,72.59,213.8
215,200.06,452.08,110.76,470.43,74.92,458.84,130.36,395.02,88.8,320.91,73.17,213.93
216,199.9,451.2,110.76,470.43,74.94,458.8,129.95,394.68,88.29,320.75,72.9,213.45
217,199.84,450.46,109.68,470.82,75.05,458.81,129.66,394.15,88.16,320.9,72.7,212.47
218,198.36,449.55,109.68,470.82,74.75,458.95,128.22,393.23,86.61,319.44,72.81,213.55
219,197.35,448.67,109.68,470.82,74.72,458.98,127.55,392.5,86.51,316.39,72.63,210.1
220,197.13,448.04,109.51,470.46,74.65,459.29,126.69,391.94,84.6,315.23,72.33,210.05
221,194.6,447.3,109.51,470.46,74.64,459.51,124.96,390.98,84.38,313.33,72.84,208.3
222,190.56,445.81,109.51,470.46,74.64,459.42,123.04,390.39,84.03,312.39,72.7,205.34
223,187.06,445.43,109.33,470.23,74.34,459.31,120.92,387.77,83.57,310.36,72.09,202.34
224,182.4,444.88,109.17,469.78,74.02,458.51,117.13,384.84,81.46,304.96,73.51,199.26
225,177.85,444.49,109.3,469.51,74.38,458.05,114.29,383.05,82.44,304.51,73.39,195.75
226,173.28,444.25,109.49,469.42,74.03,457.81,111.36,382.13,81.75,300.14,72.41,192.89
227,166.85,443.2,109.3,469.07,74.18,457.82,108.62,379.64,82.29,297.37,72.66,188.43
228,160.03,443.3,109.68,468.72,73.94,457.06,104.58,378.08,81.99,296.44,72.73,185.42
229,154.02,443.11,110.5,469.1,73.65,456.99,99.35,375.08,81.41,292.9,72.42,182.15
230,147,442.03,111.47,469.53,72.84,457.33,95.8,373.51,79.54,289.74,73.21,180.04
231,140,442.73,110.7,469.53,72.01,458,90.71,373.36,82.04,287.49,73.38,177.91
232,132.73,443.84,110.41,469.43,71.61,457.43,86.96,372.77,81.31,286.76,73.8,175.84
233,125.49,443.58,109.66,469.49,71.38,457.27,84.98,373.35,81.43,286.56,74.64,174.99
234,118.55,444.11,109.63,469.67,71.56,457.66,83.16,372.9,81.63,287.16,75.12,174.26
235,111.2,445.83,108.32,469.99,71.13,457.84,81.94,373.4,80.39,289.01,75.08,173.78
236,103.67,446.38,108.62,470.03,71.56,457.23,80.71,372.12,80.3,289.87,76.17,173.67
237,97.24,446.46,107.45,470.99,71.1,457.54,80.53,371.5,80.19,290.03,76.4,173.23
238,88.07,446.91,108.15,471.23,71.22,457.51,79.52,371.53,80.63,290.27,77.16,173.24
239,83.9,446.51,107.15,471.2,70.78,458.14,79.3,371.48,80.85,290.26,77.19,173.4
240,80.37,448.77,106.61,471.06,71.22,456.74,78.96,371.38,81.14,289.87,77.48,173.25
241,76.33,449.65,107.36,469.72,70.85,456.66,77.95,371.18,80.93,290.2,77.78,173.46
242,66.54,448.07,111.08,469.08,71.78,455.62,77.94,371.91,82.21,286.54,77.71,173.44
243,63.36,447.77,110.17,468.37,71.47,456.42,78.08,372.8,81.78,288.37,77.75,173.5
244,57.23,446.95,109.71,468.37,71.56,457.42,77.61,372.37,81.98,288.51,77.78,173.71
245,57.21,447.19,111.06,468.85,71.71,456.96,78.05,373.16,81.52,290.3,78.03,173.91
